Sno,Car Number,Place,Entry,State,Vehicle,Date and Time,Donation
,ABCDEFGH,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Tuesday-15-October-2019 13:07:15,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Tuesday-15-October-2019 13:07:15,YES
,HR26DK8337,PLACE 1,Round Trip,STATE VEHICLE,Heavy Vehicle,Tuesday-15-October-2019 13:10:13,YES
,GJ01MW7581,PLACE 1,One Way,STATE VEHICLE,Light Vehicle,Tuesday-15-October-2019 13:12:41,NO
,DL7CQ1939,PLACE 1,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,Tuesday-15-October-2019 13:14:12,YES
,,PLACE 1,Round Trip,OUTER STATE VEHICLE,Heavy Vehicle,Tuesday-15-October-2019 13:14:12,YES
,KL45D2002,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Tuesday-15-October-2019 13:16:10,NO
,MH13BK8100,PLACE 3 ,Round Trip,OUTER STATE VEHICLE,Light Vehicle,Tuesday-15-October-2019 13:18:01,YES
,MH 14 GN 2496,PLACE 1,,,,Wednesday-16-October-2019 12:33:17,NO
,[BR 05 E5000],PLACE 1,Round Trip,OUTER STATE VEHICLE,Light Vehicle,Wednesday-16-October-2019 13:27:56,YES
,"

MH 14 GN 249",PLACE 1,,,,Sunday-03-November-2019 14:56:09,NO
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
,,PLACE 1,One Way,OUTER STATE VEHICLE,Light Vehicle,Sunday-03-November-2019 14:56:09,YES
